metTriggerEfficiency_recoil_monojet,210,299,0.9917203000538891
metTriggerEfficiency_recoil_monojet_zmm,216,299,0.9875165097593653
metTriggerEfficiency_recoil_monojet,133,299,48.33883956765727
metTriggerEfficiency_recoil_monojet,4,7,4.536574297751331
metTriggerEfficiency_recoil_monojet,1,2,5
metTriggerEfficiency_recoil_monojet,1,2,5
metTriggerEfficiency_recoil_monojet,1,2,5
metTriggerEfficiency_recoil_monojet,1,2,5
metTriggerEfficiency_recoil_monojet,1,2,5
metTriggerEfficiency_recoil_monojet,1,2,5
metTriggerEfficiency_recoil_monojet,1,2,5
metTriggerEfficiency_recoil_monojet,210,299,0.9917203000538891
metTriggerEfficiency_recoil_monojet,1,2,5
